企業ID,企業名,メールアドレス,募集職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名
80,株式会社近鉄・都ホテルズ,info@miyakohotels.ne.jp,ホテル総合職,2025-06-23 14:33:31,success,80_info@miyakohotels.ne.jp_20250623143331_e0d881c8,,【ホテル総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案
81,株式会社阪急阪神百貨店,info@hankyu-hanshin-dept.co.jp,店舗スタッフ,2025-06-23 14:33:37,success,81_info@hankyu-hanshin-dept.co.jp_20250623143336_e388a2e9,,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
82,サンヨー航空サービス株式会社,info@sanyo-kix.com,グランドスタッフ,2025-06-23 14:33:42,success,82_info@sanyo-kix.com_20250623143342_afe460ec,,【グランドスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
83,株式会社ダイツー,info@daitsu-g.co.jp,店舗スタッフ,2025-06-23 14:33:47,success,83_info@daitsu-g.co.jp_20250623143347_5d868ee0,,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
84,税理士法人 いろは,info@iroha-tax.or.jp,税務スタッフ,2025-06-23 14:33:52,success,84_info@iroha-tax.or.jp_20250623143352_1ce7e121,,【税務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
85,進栄化成株式会社,info@shineikasei.com,フォークリフト作業員,2025-06-23 14:33:57,success,85_info@shineikasei.com_20250623143357_cbf7bb89,,【フォークリフト作業員の人材採用を強化しませんか？】株式会社HUGANからのご提案
86,久森電気工業株式会社,info@hisamori-denki.co.jp,電気工事スタッフ,2025-06-23 14:34:04,success,86_info@hisamori-denki.co.jp_20250623143402_050f7b4e,,【電気工事スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
87,株式会社三輝,info@sk-dogrunhill.com,受付スタッフ,2025-06-23 14:34:09,success,87_info@sk-dogrunhill.com_20250623143409_54383c61,,【受付スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
88,エルスイッチ株式会社,info@lswitch.co.jp,不動産管理,2025-06-23 14:34:14,success,88_info@lswitch.co.jp_20250623143414_93904d80,,【不動産管理の人材採用を強化しませんか？】株式会社HUGANからのご提案
89,旭マシナリー株式会社,info@asahi-mac.co.jp,メンテナンススタッフ,2025-06-23 14:34:19,success,89_info@asahi-mac.co.jp_20250623143419_aaaffdf4,,【メンテナンススタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
90,株式会社京阪ザ・ストア,info@keihan-the-store.jp,ドライバー,2025-06-23 14:34:24,success,90_info@keihan-the-store.jp_20250623143424_708d05b5,,【ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案
91,株式会社KOSMO,info@kosmo.co.jp,法人営業職,2025-06-23 14:34:29,success,91_info@kosmo.co.jp_20250623143429_c6c281b6,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案
92,太陽ファスナー株式会社,info@taiyo-fastener.co.jp,営業職,2025-06-23 14:34:35,success,92_info@taiyo-fastener.co.jp_20250623143434_520ef899,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案
93,株式会社オンテックス,info@ontex-recruit.jp,リフォーム営業,2025-06-23 14:34:40,success,93_info@ontex-recruit.jp_20250623143440_fb0ebbd4,,【リフォーム営業の人材採用を強化しませんか？】株式会社HUGANからのご提案
94,住友化学株式会社,info@sumitomo-chem.co.jp,オペレーションスタッフ,2025-06-23 14:34:45,success,94_info@sumitomo-chem.co.jp_20250623143445_7e817238,,【オペレーションスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
95,パークプラン株式会社,info@parkplan.co.jp,人材コーディネーター,2025-06-23 14:34:50,success,95_info@parkplan.co.jp_20250623143450_05c8fba7,,【人材コーディネーターの人材採用を強化しませんか？】株式会社HUGANからのご提案
96,シンワ株式会社,info@shinw.co.jp,ルート営業,2025-06-23 14:34:55,success,96_info@shinw.co.jp_20250623143455_b096fcba,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案
97,株式会社エイエイエスケータリング,info@aascatering.co.jp,軽作業スタッフ,2025-06-23 14:35:00,success,97_info@aascatering.co.jp_20250623143500_00468269,,【軽作業スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案
98,有限会社アビーズ3,info@abies-3.co.jp,企画営業,2025-06-23 14:35:06,success,98_info@abies-3.co.jp_20250623143505_7b549e59,,【企画営業の人材採用を強化しませんか？】株式会社HUGANからのご提案
99,綜合メディカル株式会社,info@sougoumedical.jp,ルート営業,2025-06-23 14:35:11,success,99_info@sougoumedical.jp_20250623143511_b657b69e,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案
100,八千代電設工業株式会社,info@yachiyo.co.jp,施工管理職,2025-06-23 14:35:16,success,100_info@yachiyo.co.jp_20250623143516_7a0085c5,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案
101,株式会社マルカン,info@mkgr.jp,提案営業,2025-06-23 14:46:00,skipped,,重複送信防止,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案
102,社会保険労務士法人ＴＳＣ,info@cacgr.co.jp,人事事務,2025-06-23 14:46:05,success,102_info@cacgr.co.jp_20250623144605_6c5c578c,,【人事事務の人材採用を強化しませんか？】株式会社HUGANからのご提案
103,セイブ化成株式会社,info@seibu-kasei.co.jp,法人営業職,2025-06-23 14:46:10,success,103_info@seibu-kasei.co.jp_20250623144610_3cd07394,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案
104,リッツハウジング株式会社,info@c21-takatsuki-r.jp,営業職,2025-06-23 14:46:15,success,104_info@c21-takatsuki-r.jp_20250623144615_6c3496ad,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案
105,株式会社アーヴェスト,info@arvest.jp,建築施工管理,2025-06-23 14:46:20,success,105_info@arvest.jp_20250623144620_ef56f888,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案
101,株式会社マルカン,info@mkgr.jp,提案営業,2025-06-23 14:46:34,skipped,,重複送信防止,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案
102,社会保険労務士法人ＴＳＣ,info@cacgr.co.jp,人事事務,2025-06-23 14:46:39,skipped,,重複送信防止,【人事事務の人材採用を強化しませんか？】株式会社HUGANからのご提案
