企業ID,企業名,メールアドレス,募集職種,メール用職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名,担当者メールアドレス,送信エラー
60,株式会社東京海上日動パートナーズかんさい,info@tnpgrp.co.jp,保険アドバイザー,2025-06-23 14:31:48,success,success,60_info@tnpgrp.co.jp_20250623143148_bb64daa5,【保険アドバイザーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
61,株式会社ハウゼコ,info@hauseco.jp,ルート営業,2025-06-23 14:31:53,success,success,61_info@hauseco.jp_20250623143153_22066def,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
62,関包スチール株式会社,info@kanpoh.co.jp,提案営業,2025-06-23 14:31:59,success,success,62_info@kanpoh.co.jp_20250623143158_366ec7f7,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
63,株式会社高洋商会,info@kouyou-shokai.co.jp,ルート営業,2025-06-23 14:32:04,success,success,63_info@kouyou-shokai.co.jp_20250623143204_8b9f4b6c,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
64,株式会社成学社,info@kaisei-group.co.jp,教室運営スタッフ,2025-06-23 14:32:09,success,success,64_info@kaisei-group.co.jp_20250623143209_6e0827d7,【教室運営スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
65,エルベオート株式会社,info@elbe.bmw.jp,営業職,2025-06-23 14:32:14,success,success,65_info@elbe.bmw.jp_20250623143214_ceb7a337,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
66,オルディ株式会社,info@ordiy.com,品質保証,2025-06-23 14:32:19,success,success,66_info@ordiy.com_20250623143219_7714eec0,【品質保証の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
67,興和化学産業株式会社,info@kowa-chem.co.jp,作業環境測定士,2025-06-23 14:32:24,success,success,67_info@kowa-chem.co.jp_20250623143224_317c2834,【作業環境測定士の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
68,株式会社ビショップ,info@bishopinc.jp,バイヤー業務,2025-06-23 14:32:30,success,success,68_info@bishopinc.jp_20250623143229_2f32e76b,【バイヤー業務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
69,株式会社セルア,info@cellua.jp,ITエンジニア,2025-06-23 14:32:35,success,success,69_info@cellua.jp_20250623143235_ce832307,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
70,株式会社広栄,info@koeisys.jp,生産管理,2025-06-23 14:32:40,success,success,70_info@koeisys.jp_20250623143240_7d07fed0,【生産管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
71,株式会社GS電池商会,info@gsdenchi.co.jp,営業職,2025-06-23 14:32:45,success,success,71_info@gsdenchi.co.jp_20250623143245_7c5f5861,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
72,株式会社プラスバイプラス,info@pluscad.jp,ヘルプデスク,2025-06-23 14:32:50,success,success,72_info@pluscad.jp_20250623143250_9c8d9b08,【ヘルプデスクの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
73,株式会社YTE,info@yte.co.jp,営業職,2025-06-23 14:32:55,success,success,73_info@yte.co.jp_20250623143255_91463770,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
74,株式会社アローズコーポレーション,info@e-arrows.com,採用コンサルタント,2025-06-23 14:33:00,success,success,74_info@e-arrows.com_20250623143300_d71a349a,【採用コンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
75,株式会社アネーラ,anela1121@nifty.com,ルート配送ドライバー,ルート配送ドライバー,2025-06-23 18:25:33,success,75_anela1121@nifty.com_20250623182533_b167412a,,【ルート配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
75,株式会社アネーラ,info@e-anela.com,ルート配送ドライバー,2025-06-23 14:33:06,success,success,75_info@e-anela.com_20250623143305_690387fa,【ルート配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
76,株式会社放水社,info@housuisha.co.jp,設備メンテナンス,2025-06-23 14:33:11,success,success,76_info@housuisha.co.jp_20250623143311_d5d541b7,【設備メンテナンスの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
77,株式会社ポアール,info@poire.co.jp,管理部門スタッフ,2025-06-23 14:33:16,success,success,77_info@poire.co.jp_20250623143316_eac3900e,【管理部門スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
78,Ｓｋｙ株式会社,info@skygroup.jp,ソフトウェア開発エンジニア,2025-06-23 14:33:21,success,success,78_info@skygroup.jp_20250623143321_919835e6,【ソフトウェア開発エンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
79,株式会社三邦,info@sunpoh.co.jp,業務,2025-06-23 14:33:26,success,success,79_info@sunpoh.co.jp_20250623143326_97d26fca,【業務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
80,株式会社近鉄・都ホテルズ,info@miyakohotels.ne.jp,ホテル総合職,2025-06-23 14:33:31,success,success,80_info@miyakohotels.ne.jp_20250623143331_e0d881c8,【ホテル総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
81,株式会社阪急阪神百貨店,info@hankyu-hanshin-dept.co.jp,店舗スタッフ,2025-06-23 14:33:37,success,success,81_info@hankyu-hanshin-dept.co.jp_20250623143336_e388a2e9,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
82,サンヨー航空サービス株式会社,info@sanyo-kix.com,グランドスタッフ,2025-06-23 14:33:42,success,success,82_info@sanyo-kix.com_20250623143342_afe460ec,【グランドスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
83,株式会社ダイツー,info@daitsu-g.co.jp,店舗スタッフ,2025-06-23 14:33:47,success,success,83_info@daitsu-g.co.jp_20250623143347_5d868ee0,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
84,税理士法人 いろは,info@iroha-tax.or.jp,税務スタッフ,2025-06-23 14:33:52,success,success,84_info@iroha-tax.or.jp_20250623143352_1ce7e121,【税務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
85,進栄化成株式会社,info@shineikasei.com,フォークリフト作業員,2025-06-23 14:33:57,success,success,85_info@shineikasei.com_20250623143357_cbf7bb89,【フォークリフト作業員の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
86,久森電気工業株式会社,info@hisamori-denki.co.jp,電気工事スタッフ,2025-06-23 14:34:04,success,success,86_info@hisamori-denki.co.jp_20250623143402_050f7b4e,【電気工事スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
87,株式会社三輝,info@sk-dogrunhill.com,受付スタッフ,2025-06-23 14:34:09,success,success,87_info@sk-dogrunhill.com_20250623143409_54383c61,【受付スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
88,エルスイッチ株式会社,info@lswitch.co.jp,不動産管理,2025-06-23 14:34:14,success,success,88_info@lswitch.co.jp_20250623143414_93904d80,【不動産管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
89,旭マシナリー株式会社,info@asahi-mac.co.jp,メンテナンススタッフ,2025-06-23 14:34:19,success,success,89_info@asahi-mac.co.jp_20250623143419_aaaffdf4,【メンテナンススタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
90,株式会社京阪ザ・ストア,info@keihan-the-store.jp,ドライバー,2025-06-23 14:34:24,success,success,90_info@keihan-the-store.jp_20250623143424_708d05b5,【ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
91,株式会社KOSMO,info@kosmo.co.jp,法人営業職,2025-06-23 14:34:29,success,success,91_info@kosmo.co.jp_20250623143429_c6c281b6,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
92,太陽ファスナー株式会社,info@taiyo-fastener.co.jp,営業職,2025-06-23 14:34:35,success,success,92_info@taiyo-fastener.co.jp_20250623143434_520ef899,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
93,株式会社オンテックス,info@ontex-recruit.jp,リフォーム営業,2025-06-23 14:34:40,success,success,93_info@ontex-recruit.jp_20250623143440_fb0ebbd4,【リフォーム営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
94,住友化学株式会社,info@sumitomo-chem.co.jp,オペレーションスタッフ,2025-06-23 14:34:45,success,success,94_info@sumitomo-chem.co.jp_20250623143445_7e817238,【オペレーションスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
95,パークプラン株式会社,info@parkplan.co.jp,人材コーディネーター,2025-06-23 14:34:50,success,success,95_info@parkplan.co.jp_20250623143450_05c8fba7,【人材コーディネーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
96,シンワ株式会社,info@shinw.co.jp,ルート営業,2025-06-23 14:34:55,success,success,96_info@shinw.co.jp_20250623143455_b096fcba,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
97,株式会社エイエイエスケータリング,info@aascatering.co.jp,軽作業スタッフ,2025-06-23 14:35:00,success,success,97_info@aascatering.co.jp_20250623143500_00468269,【軽作業スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
98,有限会社アビーズ3,info@abies-3.co.jp,企画営業,2025-06-23 14:35:06,success,success,98_info@abies-3.co.jp_20250623143505_7b549e59,【企画営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
99,綜合メディカル株式会社,info@sougoumedical.jp,ルート営業,2025-06-23 14:35:11,success,success,99_info@sougoumedical.jp_20250623143511_b657b69e,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
