tracking_id,opened_at,ip_address,device_type,user_agent,tracking_method,referer
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,focus,
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,unload,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,css,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,focus,
1392_info@yuushinkai.or.jp_20250624155952_2c7d3182,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,unload,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,css,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,focus,
1660_info@akarihana.com_20250624164142_f31f47e2,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,unload,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,css,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,focus,
1369_info@daigo-inc.co.jp_20250624155753_d3a8e456,2025-06-24 17:25:42,127.0.0.1,Unknown,python-requests/2.32.4,unload,
{{tracking_id}},2025-06-25 10:18:11,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",fallback,
{{tracking_id}},2025-06-25 10:18:11,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",beacon,
{{tracking_id}},2025-06-25 10:18:11,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",pixel,
{{tracking_id}},2025-06-25 10:18:14,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",js,
{{tracking_id}},2025-06-25 10:18:17,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",focus,
{{tracking_id}},2025-06-25 10:34:25,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",unload,
